metric,median_value,unit
symmetry_repeated_unitary_time,0.677441,ms
symmetry_fast_forward_time,0.002004949,ms
dense_class_reference_time,262.147439,ms
automatic_discovery_time,63.807130,ms
hamming_weight_60q_100000_steps,9.328595,ms
repeated_unitary_speedup,386.967188287,x
fast_forward_speedup,130750.178184,x
20q_dense_memory,16777216,bytes
20q_symmetry_memory,392,bytes
memory_reduction,42799.020408163,x
60q_hamming_classes,61,classes
60q_hamming_engine_memory,1592,bytes
grover_dense_0_1_4_time,15747.481,microseconds
grover_dense_0_1_5_time,15662.166,microseconds
grover_qregister_0_1_4_time,16388.199,microseconds
grover_qregister_0_1_5_time,15577.722,microseconds
grover_compressed_0_1_4_time,0.098773,microseconds
grover_compressed_0_1_5_time,0.100665,microseconds
grover_60q_0_1_4_time,0.357158,microseconds
grover_60q_0_1_5_time,0.359606,microseconds
